orange_pollin,ITD_mm
"Apis mellifera Linnaeus, 1758",2.65
"Centris (Centris) nitens Lepeletier, 1841",4.55
"Centris (Trachina) fuscata Lepeletier, 1841",5.02
"Exomalopsis (Exomalopsis) analis Spinola, 1853",1.75
"Exomalopsis (Exomalopsis) auropilosa Spinola, 1853",1.72
"Frieseomelitta doederleini (Friese, 1900)",1.36
"Frieseomelitta languida Moure, 1990",1.30
"Frieseomelitta varia (Lepeletier, 1836)",1.38
"Geotrigona mombuca (Smith, 1863)",1.64
"Melipona (Melipona) quadrifasciata quadrifasciata Lepeletier, 1836",2.91
"Oxytrigona tataira (Smith, 1863)",1.38
"Paratrigona lineata (Lepeletier, 1836)",1.22
"Plebeia droryana (Friese, 1900)",1.08
"Plebeia wittmanni Moure & Camargo, 1989",0.96
"Tetragona clavipes (Fabricius, 1804)",1.47
"Tetragonisca angustula (Latreille, 1811)",1.01
"Trigona hyalinata (Lepeletier, 1836)",1.86
"Trigona recursa Smith, 1863",1.28
"Trigona spinipes (Fabricius, 1793)",1.73
"Xylocopa (Neoxylocopa) grisescens Lepeletier, 1841",7.68
"Xylocopa (Neoxylocopa) suspecta Moure & Camargo, 1988",6.68
